Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
PA,PA_B,PA.B_BHI_D,0,1132339,,601736,0,0,0,0,0,186812,,0,,,,0,0,0,,9898560,2140101,0,0,9724620,358783,0,280708,0,0,,0,0,2056831,,1341480,431146,371797,0,,,,1414962,0,,,,1475968,,,,,,,,263572,,,,,,,,,,,,
PA,PA_B,PA.B_BHI_E,216975,1972423,,601858,0,0,153432,0,0,297159,,154471,,,,0,0,0,,9991209,1924978,0,0,11098959,283587,0,357840,0,0,,0,0,653072,,2038751,469015,476178,0,,,,1644906,0,,,,2030548,,,,,,,,174715,,,,,,,,,,,,
PA,PA_A,PA.A_LB_A,0,0,,4593791,2992449,0,759098,485375,0,216150,,348919,,,,380392,302615,1287201,,8342977,2234272,224725,0,4257835,0,277538,586549,0,0,,0,0,499357,,0,389023,0,0,,,,997986,0,,,,336517,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_LB_B,0,2100747,,1556357,0,0,0,376964,0,0,,227796,,,,282434,0,0,,2459069,1433351,290026,265644,13725691,673230,159405,0,0,0,,158021,0,560505,,0,546083,391414,0,,,,849044,0,,,,161420,,,,,,,,121447,,,,,,,,,,,,
PA,PA_A,PA.A_LB_C,0,0,,818478,952843,0,0,652996,0,440817,,172824,,,,0,0,295691,,6362319,3105858,0,0,2006588,411246,0,0,0,0,,0,0,159552,,0,213409,0,0,,,,290081,0,,,,0,,,,,,,,109399,,,,,,,,,,,,
PA,PA_A,PA.A_LB_D,0,0,,925725,872643,0,0,841665,0,634921,,285764,,,,0,93933,385151,,4710524,1478897,0,160587,896822,443795,109969,0,0,0,,0,0,0,,0,161968,0,0,,,,95115,0,,,,0,,,,,,,,67823,,,,,,,,,,,,
PA,PA_A,PA.A_LB_E,0,0,,635916,564067,0,0,0,0,0,,85577,,,,60927,0,170196,,1546224,0,0,0,1243337,89553,0,0,0,0,,0,0,301572,,56849,103804,0,0,,,,352609,0,,,,151796,,,,,,,,99558,,,,,,,,,,,,
PA,PA_B,PA.B_LB_A,0,0,,1443975,0,0,0,719792,214722,290888,,308465,,,,0,0,309470,,11316169,0,144220,0,1592331,186653,0,0,301551,0,,0,0,1275136,,373646,142532,0,0,,,,1257669,0,,,,482499,,,,,,,,553094,,,,,,,,,,,,
PA,PA_B,PA.B_LB_B,0,0,,430258,1105838,0,0,1341476,0,553733,,173497,,,,0,0,451246,,6330153,0,0,0,6970540,178945,0,0,171424,0,,0,0,198681,,306951,408522,0,0,,,,287829,0,,,,0,,,,,,,,439975,,,,,,,,,,,,
PA,PA_B,PA.B_LB_C,0,71200,,612393,920844,0,0,1437190,149294,608115,,267753,,,,114084,0,282138,,10477684,0,88040,0,2274161,197864,130510,100140,254571,0,,0,0,265616,,198782,153817,0,0,,,,178546,0,,,,59911,,,,,,,,516248,,,,,,,,,,,,
PA,PA_B,PA.B_LB_D,0,0,,521478,726757,0,0,1098813,0,539042,,185840,,,,125236,50818,229256,,8408280,0,0,0,2006092,106432,85656,82100,277327,0,,0,0,381346,,53306,83078,0,0,,,,195093,0,,,,0,,,,,,,,362422,,,,,,,,,,,,
PA,PA_B,PA.B_LB_E,0,0,,1257192,0,0,0,691874,196600,264088,,325764,,,,106088,77304,313564,,6122284,0,199717,0,2050926,153090,183690,132599,347183,0,,0,0,1766587,,422604,143921,0,0,,,,1411966,0,,,,384342,,,,,,,,569141,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_A,102838,407274,,312919,416155,878501,0,0,0,0,,180978,,,,613288,0,1220117,,1089098,297541,0,0,37125000,1013976,66660,94665,0,0,,590669,254736,77440,,315708,296002,437807,50895,,,,0,85303,,,,220455,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_B,366196,105844,,922111,405410,1044023,0,0,0,0,,350140,,,,533119,138682,1405586,,1586875,1330842,131327,0,25630541,922092,84463,138407,0,0,,174814,237817,174811,,364610,348566,501438,57295,,,,95420,129277,,,,327898,,,,,,,,0,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_C,168119,201974,,790827,185434,920649,0,0,0,0,,120517,,,,358184,96881,1206319,,0,292562,0,0,28478038,647846,53945,123534,0,0,,153504,222587,360272,,437056,361440,600925,65646,,,,266974,128608,,,,430422,,,,,,,,284883,,,,,,,,,,,,
PA,PA_A,PA.A_TSB_D,0,100302,,484660,454496,524710,0,0,0,0,,96861,,,,528587,61466,768442,,2178707,546953,0,0,18337136,409427,0,81767,0,0,,323499,167137,463341,,428548,267344,438524,0,,,,586721,133784,,,,617888,,,,,,,,551104,,,,,,,,,,,,
PA,PA_B,PA.B_TSB_A,224198,213164,,809906,706936,932763,0,0,0,0,,203944,,,,436552,0,1209988,,12921628,0,83664,0,18573029,91195,131925,141355,115156,0,,173217,119002,525712,,1285724,142353,424489,79448,,,,4396492,111623,,,,2800635,,,,,,,,1528228,,,,,,,,,,,,
